data,label
"[2013, 22, 5, 15, 2]",1
"[2013, 22, 5, 16, 2]",1
"[2013, 22, 5, 17, 2]",5
"[2013, 22, 5, 18, 2]",1
"[2013, 22, 5, 19, 2]",2
"[2013, 22, 5, 20, 2]",0
"[2013, 22, 5, 21, 2]",0
"[2013, 22, 5, 22, 3]",0
"[2013, 22, 5, 23, 3]",0
"[2013, 22, 6, 0, 3]",0
"[2013, 22, 6, 1, 3]",0
"[2013, 22, 6, 2, 3]",0
"[2013, 22, 6, 3, 3]",0
"[2013, 22, 6, 4, 4]",0
"[2013, 22, 6, 5, 3]",0
"[2013, 22, 6, 6, 3]",0
"[2013, 22, 6, 7, 4]",0
"[2013, 22, 6, 8, 2]",0
"[2013, 22, 6, 9, 2]",2
"[2013, 22, 6, 10, 2]",0
"[2013, 22, 6, 11, 2]",0
"[2013, 22, 6, 12, 2]",4
"[2013, 22, 6, 13, 2]",0
"[2013, 22, 6, 14, 2]",2
"[2013, 22, 6, 15, 2]",2
"[2013, 22, 6, 16, 2]",3
"[2013, 22, 6, 17, 2]",6
"[2013, 22, 6, 18, 2]",3
"[2013, 22, 6, 19, 4]",0
"[2013, 22, 6, 20, 2]",0
"[2013, 22, 6, 21, 2]",0
"[2013, 22, 6, 22, 2]",0
"[2013, 22, 6, 23, 2]",0
"[2013, 23, 0, 0, 2]",4
"[2013, 23, 0, 1, 2]",2
"[2013, 23, 0, 2, 2]",2
"[2013, 23, 0, 3, 2]",0
"[2013, 23, 0, 4, 2]",0
"[2013, 23, 0, 5, 2]",0
"[2013, 23, 0, 6, 3]",0
"[2013, 23, 0, 7, 2]",0
"[2013, 23, 0, 8, 2]",0
"[2013, 23, 0, 9, 2]",0
"[2013, 23, 0, 10, 5]",0
"[2013, 23, 0, 11, 4]",0
"[2013, 23, 0, 12, 4]",2
"[2013, 23, 0, 13, 4]",2
"[2013, 23, 0, 14, 4]",4
"[2013, 23, 0, 15, 4]",4
"[2013, 23, 0, 16, 4]",5
"[2013, 23, 0, 17, 4]",6
"[2013, 23, 0, 18, 4]",10
"[2013, 23, 0, 19, 3]",6
"[2013, 23, 0, 20, 1]",7
