data,label
"[2013, 39, 0, 19, 1]",26
"[2013, 39, 0, 20, 1]",12
"[2013, 39, 0, 21, 1]",1
"[2013, 39, 0, 22, 1]",6
"[2013, 39, 0, 23, 1]",29
"[2013, 39, 1, 0, 1]",3
"[2013, 39, 1, 1, 1]",2
"[2013, 39, 1, 2, 1]",1
"[2013, 39, 1, 3, 1]",1
"[2013, 39, 1, 4, 1]",0
"[2013, 39, 1, 5, 1]",3
"[2013, 39, 1, 6, 1]",23
"[2013, 39, 1, 7, 2]",72
"[2013, 39, 1, 8, 1]",154
"[2013, 39, 1, 9, 1]",81
"[2013, 39, 1, 10, 2]",24
"[2013, 39, 1, 11, 2]",26
"[2013, 39, 1, 12, 1]",21
"[2013, 39, 1, 13, 1]",25
"[2013, 39, 1, 14, 1]",11
"[2013, 39, 1, 15, 1]",21
"[2013, 39, 1, 16, 1]",38
"[2013, 39, 1, 17, 1]",172
"[2013, 39, 1, 18, 1]",151
"[2013, 39, 1, 19, 1]",38
"[2013, 39, 1, 20, 1]",18
"[2013, 39, 1, 21, 1]",5
"[2013, 39, 1, 22, 1]",20
"[2013, 39, 1, 23, 1]",10
"[2013, 39, 2, 0, 1]",3
"[2013, 39, 2, 1, 1]",6
"[2013, 39, 2, 2, 1]",0
"[2013, 39, 2, 3, 1]",2
"[2013, 39, 2, 4, 1]",0
"[2013, 39, 2, 5, 1]",6
"[2013, 39, 2, 6, 1]",24
"[2013, 39, 2, 7, 1]",102
"[2013, 39, 2, 8, 2]",181
"[2013, 39, 2, 9, 1]",111
"[2013, 39, 2, 10, 1]",47
"[2013, 39, 2, 11, 1]",31
"[2013, 39, 2, 12, 1]",44
"[2013, 39, 2, 13, 1]",36
"[2013, 39, 2, 14, 1]",18
"[2013, 39, 2, 15, 1]",41
"[2013, 39, 2, 16, 1]",35
"[2013, 39, 2, 17, 1]",136
"[2013, 39, 2, 18, 1]",210
"[2013, 39, 2, 19, 1]",90
"[2013, 39, 2, 20, 1]",27
"[2013, 39, 2, 21, 1]",39
"[2013, 39, 2, 22, 1]",13
"[2013, 39, 2, 23, 2]",4
"[2013, 39, 3, 0, 1]",7
"[2013, 39, 3, 1, 1]",6
"[2013, 39, 3, 2, 1]",0
"[2013, 39, 3, 3, 1]",2
"[2013, 39, 3, 4, 2]",0
"[2013, 39, 3, 5, 1]",4
"[2013, 39, 3, 6, 1]",31
"[2013, 39, 3, 7, 1]",73
"[2013, 39, 3, 8, 2]",104
"[2013, 39, 3, 9, 1]",87
"[2013, 39, 3, 10, 1]",33
"[2013, 39, 3, 11, 1]",30
"[2013, 39, 3, 12, 1]",26
"[2013, 39, 3, 13, 1]",13
"[2013, 39, 3, 14, 1]",17
"[2013, 39, 3, 15, 1]",24
"[2013, 39, 3, 16, 1]",23
"[2013, 39, 3, 17, 1]",152
"[2013, 39, 3, 18, 1]",170
"[2013, 39, 3, 19, 1]",89
"[2013, 39, 3, 20, 1]",85
"[2013, 39, 3, 21, 1]",17
"[2013, 39, 3, 22, 1]",18
"[2013, 39, 3, 23, 1]",10
"[2013, 39, 4, 0, 1]",4
"[2013, 39, 4, 1, 1]",0
"[2013, 39, 4, 2, 1]",1
"[2013, 39, 4, 3, 1]",3
"[2013, 39, 4, 4, 2]",0
"[2013, 39, 4, 5, 1]",5
"[2013, 39, 4, 6, 2]",15
"[2013, 39, 4, 7, 1]",52
"[2013, 39, 4, 8, 2]",152
"[2013, 39, 4, 9, 1]",108
"[2013, 39, 4, 10, 2]",41
"[2013, 39, 4, 11, 2]",21
"[2013, 39, 4, 12, 1]",25
"[2013, 39, 4, 13, 1]",35
"[2013, 39, 4, 14, 1]",18
"[2013, 39, 4, 15, 1]",23
"[2013, 39, 4, 16, 1]",34
"[2013, 39, 4, 17, 1]",94
"[2013, 39, 4, 18, 1]",204
"[2013, 39, 4, 19, 1]",56
"[2013, 39, 4, 20, 2]",86
"[2013, 39, 4, 21, 2]",16
"[2013, 39, 4, 22, 2]",26
"[2013, 39, 4, 23, 2]",25
"[2013, 39, 5, 0, 2]",4
"[2013, 39, 5, 1, 2]",8
"[2013, 39, 5, 2, 1]",2
"[2013, 39, 5, 3, 1]",0
"[2013, 39, 5, 4, 2]",0
"[2013, 39, 5, 5, 1]",5
"[2013, 39, 5, 6, 1]",20
"[2013, 39, 5, 7, 2]",80
"[2013, 39, 5, 8, 1]",114
"[2013, 39, 5, 9, 1]",68
"[2013, 39, 5, 10, 2]",14
"[2013, 39, 5, 11, 1]",20
"[2013, 39, 5, 12, 1]",24
"[2013, 39, 5, 13, 1]",28
"[2013, 39, 5, 14, 1]",18
"[2013, 39, 5, 15, 1]",25
"[2013, 39, 5, 16, 1]",64
"[2013, 39, 5, 17, 1]",192
"[2013, 39, 5, 18, 1]",108
"[2013, 39, 5, 19, 1]",45
"[2013, 39, 5, 20, 1]",10
"[2013, 39, 5, 21, 1]",13
"[2013, 39, 5, 22, 1]",25
"[2013, 39, 5, 23, 3]",31
"[2013, 39, 6, 0, 3]",10
"[2013, 39, 6, 1, 3]",4
"[2013, 39, 6, 2, 1]",6
"[2013, 39, 6, 3, 1]",4
"[2013, 39, 6, 4, 2]",0
"[2013, 39, 6, 5, 1]",0
"[2013, 39, 6, 6, 1]",5
"[2013, 39, 6, 7, 2]",3
"[2013, 39, 6, 8, 2]",8
"[2013, 39, 6, 9, 2]",7
"[2013, 39, 6, 10, 1]",17
"[2013, 39, 6, 11, 2]",19
"[2013, 39, 6, 12, 2]",9
"[2013, 39, 6, 13, 2]",15
"[2013, 39, 6, 14, 2]",18
"[2013, 39, 6, 15, 1]",25
"[2013, 39, 6, 16, 2]",31
"[2013, 39, 6, 17, 2]",40
"[2013, 39, 6, 18, 1]",35
"[2013, 39, 6, 19, 1]",17
"[2013, 39, 6, 20, 2]",14
"[2013, 39, 6, 21, 2]",17
"[2013, 39, 6, 22, 2]",12
"[2013, 39, 6, 23, 2]",4
"[2013, 40, 0, 0, 2]",8
"[2013, 40, 0, 1, 2]",5
"[2013, 40, 0, 2, 2]",1
"[2013, 40, 0, 3, 2]",4
"[2013, 40, 0, 4, 2]",0
"[2013, 40, 0, 5, 2]",0
"[2013, 40, 0, 6, 2]",10
"[2013, 40, 0, 7, 2]",2
"[2013, 40, 0, 8, 2]",0
"[2013, 40, 0, 9, 2]",6
"[2013, 40, 0, 10, 2]",3
"[2013, 40, 0, 11, 3]",18
"[2013, 40, 0, 12, 2]",4
"[2013, 40, 0, 13, 2]",14
"[2013, 40, 0, 14, 2]",23
"[2013, 40, 0, 15, 2]",23
"[2013, 40, 0, 16, 2]",27
"[2013, 40, 0, 17, 2]",36
"[2013, 40, 0, 18, 2]",11
"[2013, 40, 0, 19, 2]",12
"[2013, 40, 0, 20, 2]",6
"[2013, 40, 0, 21, 2]",5
"[2013, 40, 0, 22, 2]",2
"[2013, 40, 0, 23, 3]",4
"[2013, 40, 1, 0, 2]",0
"[2013, 40, 1, 1, 2]",0
"[2013, 40, 1, 2, 2]",0
"[2013, 40, 1, 3, 2]",0
"[2013, 40, 1, 4, 2]",0
"[2013, 40, 1, 5, 2]",10
"[2013, 40, 1, 6, 2]",21
"[2013, 40, 1, 7, 2]",74
"[2013, 40, 1, 8, 2]",116
"[2013, 40, 1, 9, 2]",34
"[2013, 40, 1, 10, 2]",14
"[2013, 40, 1, 11, 3]",22
"[2013, 40, 1, 12, 3]",9
"[2013, 40, 1, 13, 3]",5
"[2013, 40, 1, 14, 2]",26
"[2013, 40, 1, 15, 3]",14
"[2013, 40, 1, 16, 2]",4
"[2013, 40, 1, 17, 3]",52
"[2013, 40, 1, 18, 5]",91
"[2013, 40, 1, 19, 5]",70
"[2013, 40, 1, 20, 5]",10
"[2013, 40, 1, 21, 2]",7
"[2013, 40, 1, 22, 3]",13
"[2013, 40, 1, 23, 3]",6
"[2013, 40, 2, 0, 3]",2
"[2013, 40, 2, 1, 3]",0
"[2013, 40, 2, 2, 3]",1
"[2013, 40, 2, 3, 3]",1
"[2013, 40, 2, 4, 1]",0
"[2013, 40, 2, 5, 1]",6
"[2013, 40, 2, 6, 1]",24
"[2013, 40, 2, 7, 1]",99
"[2013, 40, 2, 8, 1]",80
"[2013, 40, 2, 9, 2]",52
"[2013, 40, 2, 10, 1]",24
"[2013, 40, 2, 11, 2]",15
"[2013, 40, 2, 12, 2]",19
"[2013, 40, 2, 13, 1]",15
"[2013, 40, 2, 14, 1]",25
"[2013, 40, 2, 15, 1]",21
"[2013, 40, 2, 16, 1]",50
"[2013, 40, 2, 17, 1]",158
"[2013, 40, 2, 18, 1]",158
"[2013, 40, 2, 19, 1]",68
"[2013, 40, 2, 20, 1]",41
"[2013, 40, 2, 21, 1]",18
"[2013, 40, 2, 22, 1]",11
"[2013, 40, 2, 23, 1]",8
"[2013, 40, 3, 0, 1]",0
"[2013, 40, 3, 1, 1]",0
"[2013, 40, 3, 2, 1]",5
"[2013, 40, 3, 3, 1]",1
"[2013, 40, 3, 4, 1]",2
"[2013, 40, 3, 5, 1]",2
"[2013, 40, 3, 6, 1]",32
"[2013, 40, 3, 7, 1]",85
"[2013, 40, 3, 8, 1]",108
"[2013, 40, 3, 9, 1]",67
"[2013, 40, 3, 10, 1]",21
"[2013, 40, 3, 11, 1]",17
"[2013, 40, 3, 12, 1]",15
"[2013, 40, 3, 13, 1]",23
"[2013, 40, 3, 14, 1]",19
"[2013, 40, 3, 15, 1]",12
"[2013, 40, 3, 16, 1]",29
"[2013, 40, 3, 17, 2]",138
"[2013, 40, 3, 18, 1]",131
"[2013, 40, 3, 19, 1]",108
"[2013, 40, 3, 20, 2]",21
"[2013, 40, 3, 21, 2]",27
"[2013, 40, 3, 22, 2]",3
"[2013, 40, 3, 23, 2]",8
"[2013, 40, 4, 0, 2]",0
"[2013, 40, 4, 1, 2]",2
"[2013, 40, 4, 2, 2]",5
"[2013, 40, 4, 3, 2]",1
"[2013, 40, 4, 4, 2]",0
"[2013, 40, 4, 5, 2]",8
"[2013, 40, 4, 6, 2]",14
"[2013, 40, 4, 7, 2]",71
"[2013, 40, 4, 8, 2]",72
"[2013, 40, 4, 9, 2]",37
"[2013, 40, 4, 10, 2]",13
"[2013, 40, 4, 11, 2]",5
"[2013, 40, 4, 12, 2]",28
"[2013, 40, 4, 13, 3]",16
"[2013, 40, 4, 14, 3]",19
"[2013, 40, 4, 15, 2]",30
"[2013, 40, 4, 16, 2]",49
"[2013, 40, 4, 17, 2]",165
"[2013, 40, 4, 18, 2]",118
"[2013, 40, 4, 19, 2]",41
"[2013, 40, 4, 20, 2]",13
"[2013, 40, 4, 21, 2]",15
"[2013, 40, 4, 22, 2]",12
"[2013, 40, 4, 23, 2]",10
"[2013, 40, 5, 0, 2]",4
"[2013, 40, 5, 1, 2]",5
"[2013, 40, 5, 2, 4]",1
"[2013, 40, 5, 3, 4]",0
"[2013, 40, 5, 4, 4]",0
"[2013, 40, 5, 5, 4]",2
"[2013, 40, 5, 6, 3]",28
"[2013, 40, 5, 7, 3]",81
"[2013, 40, 5, 8, 4]",100
"[2013, 40, 5, 9, 4]",73
"[2013, 40, 5, 10, 4]",17
"[2013, 40, 5, 11, 3]",17
"[2013, 40, 5, 12, 2]",19
"[2013, 40, 5, 13, 2]",22
"[2013, 40, 5, 14, 2]",26
"[2013, 40, 5, 15, 3]",48
"[2013, 40, 5, 16, 3]",70
"[2013, 40, 5, 17, 2]",189
"[2013, 40, 5, 18, 3]",175
"[2013, 40, 5, 19, 3]",41
"[2013, 40, 5, 20, 3]",9
"[2013, 40, 5, 21, 3]",20
"[2013, 40, 5, 22, 3]",6
"[2013, 40, 5, 23, 3]",21
"[2013, 40, 6, 0, 2]",15
"[2013, 40, 6, 1, 2]",5
"[2013, 40, 6, 2, 2]",0
"[2013, 40, 6, 3, 3]",4
"[2013, 40, 6, 4, 3]",0
"[2013, 40, 6, 5, 1]",2
"[2013, 40, 6, 6, 2]",2
"[2013, 40, 6, 7, 2]",4
"[2013, 40, 6, 8, 2]",11
"[2013, 40, 6, 9, 2]",14
"[2013, 40, 6, 10, 1]",18
"[2013, 40, 6, 11, 1]",13
"[2013, 40, 6, 12, 1]",14
"[2013, 40, 6, 13, 1]",47
"[2013, 40, 6, 14, 1]",29
"[2013, 40, 6, 15, 1]",29
"[2013, 40, 6, 16, 1]",21
"[2013, 40, 6, 17, 1]",13
"[2013, 40, 6, 18, 1]",1
"[2013, 40, 6, 19, 1]",2
"[2013, 40, 6, 20, 3]",7
"[2013, 40, 6, 21, 3]",3
"[2013, 40, 6, 22, 3]",0
"[2013, 40, 6, 23, 1]",6
"[2013, 41, 0, 0, 1]",6
"[2013, 41, 0, 1, 1]",2
"[2013, 41, 0, 2, 1]",0
"[2013, 41, 0, 3, 1]",0
"[2013, 41, 0, 4, 1]",0
"[2013, 41, 0, 5, 1]",0
"[2013, 41, 0, 6, 1]",0
"[2013, 41, 0, 7, 1]",3
"[2013, 41, 0, 8, 1]",3
"[2013, 41, 0, 9, 1]",7
"[2013, 41, 0, 10, 1]",9
"[2013, 41, 0, 11, 1]",20
"[2013, 41, 0, 12, 1]",25
"[2013, 41, 0, 13, 1]",21
"[2013, 41, 0, 14, 1]",15
"[2013, 41, 0, 15, 1]",22
"[2013, 41, 0, 16, 1]",29
"[2013, 41, 0, 17, 1]",43
"[2013, 41, 0, 18, 1]",20
"[2013, 41, 0, 19, 1]",4
"[2013, 41, 0, 20, 1]",11
"[2013, 41, 0, 21, 1]",6
"[2013, 41, 0, 22, 1]",18
"[2013, 41, 0, 23, 1]",5
"[2013, 41, 1, 0, 1]",5
"[2013, 41, 1, 1, 1]",2
"[2013, 41, 1, 2, 1]",1
"[2013, 41, 1, 3, 1]",1
"[2013, 41, 1, 4, 1]",0
"[2013, 41, 1, 5, 1]",4
"[2013, 41, 1, 6, 2]",12
"[2013, 41, 1, 7, 1]",49
"[2013, 41, 1, 8, 2]",94
"[2013, 41, 1, 9, 1]",77
"[2013, 41, 1, 10, 1]",14
"[2013, 41, 1, 11, 2]",13
"[2013, 41, 1, 12, 1]",21
"[2013, 41, 1, 13, 1]",26
"[2013, 41, 1, 14, 1]",19
"[2013, 41, 1, 15, 1]",18
"[2013, 41, 1, 16, 1]",30
"[2013, 41, 1, 17, 1]",91
"[2013, 41, 1, 18, 1]",84
"[2013, 41, 1, 19, 1]",43
"[2013, 41, 1, 20, 1]",9
"[2013, 41, 1, 21, 1]",7
"[2013, 41, 1, 22, 1]",3
"[2013, 41, 1, 23, 1]",0
"[2013, 41, 2, 0, 1]",0
"[2013, 41, 2, 1, 1]",0
"[2013, 41, 2, 2, 1]",1
"[2013, 41, 2, 3, 1]",1
"[2013, 41, 2, 4, 1]",0
"[2013, 41, 2, 5, 1]",5
"[2013, 41, 2, 6, 1]",17
"[2013, 41, 2, 7, 1]",83
"[2013, 41, 2, 8, 1]",122
"[2013, 41, 2, 9, 1]",48
"[2013, 41, 2, 10, 1]",18
"[2013, 41, 2, 11, 1]",8
"[2013, 41, 2, 12, 1]",17
"[2013, 41, 2, 13, 1]",19
"[2013, 41, 2, 14, 1]",16
"[2013, 41, 2, 15, 1]",27
"[2013, 41, 2, 16, 1]",66
"[2013, 41, 2, 17, 1]",118
"[2013, 41, 2, 18, 1]",132
"[2013, 41, 2, 19, 1]",80
"[2013, 41, 2, 20, 1]",28
"[2013, 41, 2, 21, 1]",29
"[2013, 41, 2, 22, 1]",18
"[2013, 41, 2, 23, 1]",5
"[2013, 41, 3, 0, 1]",6
"[2013, 41, 3, 1, 2]",4
"[2013, 41, 3, 2, 2]",1
"[2013, 41, 3, 3, 2]",1
"[2013, 41, 3, 4, 1]",0
"[2013, 41, 3, 5, 2]",5
"[2013, 41, 3, 6, 2]",24
"[2013, 41, 3, 7, 2]",82
"[2013, 41, 3, 8, 2]",108
"[2013, 41, 3, 9, 2]",47
"[2013, 41, 3, 10, 2]",26
"[2013, 41, 3, 11, 2]",11
"[2013, 41, 3, 12, 3]",30
"[2013, 41, 3, 13, 3]",14
"[2013, 41, 3, 14, 3]",38
"[2013, 41, 3, 15, 3]",22
"[2013, 41, 3, 16, 3]",49
"[2013, 41, 3, 17, 3]",202
"[2013, 41, 3, 18, 3]",175
"[2013, 41, 3, 19, 3]",97
"[2013, 41, 3, 20, 3]",31
"[2013, 41, 3, 21, 3]",8
"[2013, 41, 3, 22, 2]",10
"[2013, 41, 3, 23, 2]",8
"[2013, 41, 4, 0, 2]",12
"[2013, 41, 4, 1, 2]",3
"[2013, 41, 4, 2, 2]",3
"[2013, 41, 4, 3, 3]",3
"[2013, 41, 4, 4, 3]",0
"[2013, 41, 4, 5, 2]",4
"[2013, 41, 4, 6, 2]",13
"[2013, 41, 4, 7, 2]",75
"[2013, 41, 4, 8, 2]",108
"[2013, 41, 4, 9, 2]",55
"[2013, 41, 4, 10, 2]",22
"[2013, 41, 4, 11, 3]",28
"[2013, 41, 4, 12, 2]",27
"[2013, 41, 4, 13, 2]",26
"[2013, 41, 4, 14, 2]",18
"[2013, 41, 4, 15, 2]",25
"[2013, 41, 4, 16, 2]",61
"[2013, 41, 4, 17, 2]",204
"[2013, 41, 4, 18, 2]",171
"[2013, 41, 4, 19, 2]",64
"[2013, 41, 4, 20, 2]",22
"[2013, 41, 4, 21, 2]",28
"[2013, 41, 4, 22, 2]",23
"[2013, 41, 4, 23, 2]",15
"[2013, 41, 5, 0, 3]",5
"[2013, 41, 5, 1, 3]",6
"[2013, 41, 5, 2, 4]",6
"[2013, 41, 5, 3, 3]",0
"[2013, 41, 5, 4, 3]",0
"[2013, 41, 5, 5, 2]",4
"[2013, 41, 5, 6, 3]",43
"[2013, 41, 5, 7, 3]",63
"[2013, 41, 5, 8, 4]",75
"[2013, 41, 5, 9, 3]",69
"[2013, 41, 5, 10, 4]",32
"[2013, 41, 5, 11, 4]",27
"[2013, 41, 5, 12, 4]",18
"[2013, 41, 5, 13, 4]",24
"[2013, 41, 5, 14, 3]",40
"[2013, 41, 5, 15, 3]",48
"[2013, 41, 5, 16, 3]",110
"[2013, 41, 5, 17, 3]",200
"[2013, 41, 5, 18, 3]",123
"[2013, 41, 5, 19, 3]",77
"[2013, 41, 5, 20, 1]",39
"[2013, 41, 5, 21, 1]",19
"[2013, 41, 5, 22, 1]",11
"[2013, 41, 5, 23, 1]",6
"[2013, 41, 6, 0, 1]",2
"[2013, 41, 6, 1, 1]",3
"[2013, 41, 6, 2, 1]",3
"[2013, 41, 6, 3, 1]",0
"[2013, 41, 6, 4, 1]",0
"[2013, 41, 6, 5, 1]",0
"[2013, 41, 6, 6, 1]",0
"[2013, 41, 6, 7, 1]",4
"[2013, 41, 6, 8, 2]",14
"[2013, 41, 6, 9, 2]",5
"[2013, 41, 6, 10, 2]",11
"[2013, 41, 6, 11, 2]",14
"[2013, 41, 6, 12, 1]",13
"[2013, 41, 6, 13, 1]",18
"[2013, 41, 6, 14, 1]",12
"[2013, 41, 6, 15, 1]",12
"[2013, 41, 6, 16, 2]",9
"[2013, 41, 6, 17, 2]",18
"[2013, 41, 6, 18, 2]",12
"[2013, 41, 6, 19, 2]",12
"[2013, 41, 6, 20, 2]",2
"[2013, 41, 6, 21, 2]",4
"[2013, 41, 6, 22, 2]",3
"[2013, 41, 6, 23, 2]",3
"[2013, 42, 0, 0, 2]",4
"[2013, 42, 0, 1, 1]",0
"[2013, 42, 0, 2, 1]",0
"[2013, 42, 0, 3, 3]",0
"[2013, 42, 0, 4, 3]",0
"[2013, 42, 0, 5, 3]",0
"[2013, 42, 0, 6, 1]",0
"[2013, 42, 0, 7, 1]",2
"[2013, 42, 0, 8, 1]",5
"[2013, 42, 0, 9, 1]",8
"[2013, 42, 0, 10, 1]",5
"[2013, 42, 0, 11, 1]",7
"[2013, 42, 0, 12, 1]",27
"[2013, 42, 0, 13, 1]",29
"[2013, 42, 0, 14, 1]",30
"[2013, 42, 0, 15, 1]",29
"[2013, 42, 0, 16, 1]",27
"[2013, 42, 0, 17, 1]",23
"[2013, 42, 0, 18, 1]",12
"[2013, 42, 0, 19, 1]",7
"[2013, 42, 0, 20, 1]",1
"[2013, 42, 0, 21, 1]",3
"[2013, 42, 0, 22, 1]",0
"[2013, 42, 0, 23, 1]",0
"[2013, 42, 1, 0, 1]",0
"[2013, 42, 1, 1, 1]",0
"[2013, 42, 1, 2, 1]",1
"[2013, 42, 1, 3, 1]",1
"[2013, 42, 1, 4, 1]",0
"[2013, 42, 1, 5, 1]",4
"[2013, 42, 1, 6, 1]",17
"[2013, 42, 1, 7, 1]",76
"[2013, 42, 1, 8, 1]",105
"[2013, 42, 1, 9, 1]",48
"[2013, 42, 1, 10, 1]",14
"[2013, 42, 1, 11, 1]",15
"[2013, 42, 1, 12, 1]",6
"[2013, 42, 1, 13, 1]",25
"[2013, 42, 1, 14, 1]",21
"[2013, 42, 1, 15, 1]",23
"[2013, 42, 1, 16, 1]",32
"[2013, 42, 1, 17, 1]",179
"[2013, 42, 1, 18, 1]",203
"[2013, 42, 1, 19, 1]",47
"[2013, 42, 1, 20, 1]",28
"[2013, 42, 1, 21, 1]",13
"[2013, 42, 1, 22, 1]",17
"[2013, 42, 1, 23, 1]",8
"[2013, 42, 2, 0, 1]",0
"[2013, 42, 2, 1, 1]",0
"[2013, 42, 2, 2, 1]",1
"[2013, 42, 2, 3, 1]",1
"[2013, 42, 2, 4, 1]",0
"[2013, 42, 2, 5, 1]",7
"[2013, 42, 2, 6, 1]",29
"[2013, 42, 2, 7, 1]",75
"[2013, 42, 2, 8, 1]",79
"[2013, 42, 2, 9, 2]",40
"[2013, 42, 2, 10, 1]",14
"[2013, 42, 2, 11, 1]",7
"[2013, 42, 2, 12, 1]",18
"[2013, 42, 2, 13, 1]",17
"[2013, 42, 2, 14, 1]",25
"[2013, 42, 2, 15, 1]",20
"[2013, 42, 2, 16, 1]",32
"[2013, 42, 2, 17, 1]",104
"[2013, 42, 2, 18, 1]",257
"[2013, 42, 2, 19, 1]",106
"[2013, 42, 2, 20, 1]",20
"[2013, 42, 2, 21, 1]",11
"[2013, 42, 2, 22, 1]",3
"[2013, 42, 2, 23, 1]",4
"[2013, 42, 3, 0, 1]",4
"[2013, 42, 3, 1, 1]",0
"[2013, 42, 3, 2, 1]",3
"[2013, 42, 3, 3, 1]",1
"[2013, 42, 3, 4, 1]",0
"[2013, 42, 3, 5, 1]",6
"[2013, 42, 3, 6, 1]",25
"[2013, 42, 3, 7, 1]",89
"[2013, 42, 3, 8, 1]",104
"[2013, 42, 3, 9, 1]",90
"[2013, 42, 3, 10, 1]",14
"[2013, 42, 3, 11, 1]",10
"[2013, 42, 3, 12, 1]",23
"[2013, 42, 3, 13, 1]",12
"[2013, 42, 3, 14, 1]",14
"[2013, 42, 3, 15, 1]",26
"[2013, 42, 3, 16, 1]",27
"[2013, 42, 3, 17, 1]",161
"[2013, 42, 3, 18, 1]",163
"[2013, 42, 3, 19, 1]",52
"[2013, 42, 3, 20, 1]",43
"[2013, 42, 3, 21, 1]",29
"[2013, 42, 3, 22, 1]",14
"[2013, 42, 3, 23, 1]",2
"[2013, 42, 4, 0, 1]",2
"[2013, 42, 4, 1, 1]",0
"[2013, 42, 4, 2, 1]",0
"[2013, 42, 4, 3, 1]",0
"[2013, 42, 4, 4, 1]",0
"[2013, 42, 4, 5, 1]",6
"[2013, 42, 4, 6, 1]",20
"[2013, 42, 4, 7, 1]",67
"[2013, 42, 4, 8, 1]",124
"[2013, 42, 4, 9, 1]",71
"[2013, 42, 4, 10, 1]",27
"[2013, 42, 4, 11, 1]",21
"[2013, 42, 4, 12, 1]",27
"[2013, 42, 4, 13, 1]",19
"[2013, 42, 4, 14, 1]",42
"[2013, 42, 4, 15, 1]",18
"[2013, 42, 4, 16, 1]",47
"[2013, 42, 4, 17, 1]",150
"[2013, 42, 4, 18, 1]",145
"[2013, 42, 4, 19, 1]",56
"[2013, 42, 4, 20, 1]",27
"[2013, 42, 4, 21, 1]",26
"[2013, 42, 4, 22, 1]",21
"[2013, 42, 4, 23, 1]",12
"[2013, 42, 5, 0, 1]",2
"[2013, 42, 5, 1, 1]",2
"[2013, 42, 5, 2, 1]",0
"[2013, 42, 5, 3, 1]",0
"[2013, 42, 5, 4, 1]",0
"[2013, 42, 5, 5, 1]",6
"[2013, 42, 5, 6, 1]",29
"[2013, 42, 5, 7, 1]",78
"[2013, 42, 5, 8, 1]",114
"[2013, 42, 5, 9, 1]",87
"[2013, 42, 5, 10, 1]",23
"[2013, 42, 5, 11, 1]",11
"[2013, 42, 5, 12, 1]",17
"[2013, 42, 5, 13, 1]",19
"[2013, 42, 5, 14, 1]",11
"[2013, 42, 5, 15, 1]",22
"[2013, 42, 5, 16, 1]",53
"[2013, 42, 5, 17, 1]",108
"[2013, 42, 5, 18, 1]",80
"[2013, 42, 5, 19, 1]",31
"[2013, 42, 5, 20, 1]",9
"[2013, 42, 5, 21, 1]",8
"[2013, 42, 5, 22, 1]",13
"[2013, 42, 5, 23, 1]",2
"[2013, 42, 6, 0, 1]",1
"[2013, 42, 6, 1, 1]",1
"[2013, 42, 6, 2, 1]",2
"[2013, 42, 6, 3, 1]",2
"[2013, 42, 6, 4, 1]",0
"[2013, 42, 6, 5, 1]",0
"[2013, 42, 6, 6, 1]",2
"[2013, 42, 6, 7, 1]",5
"[2013, 42, 6, 8, 1]",7
"[2013, 42, 6, 9, 1]",6
"[2013, 42, 6, 10, 1]",15
"[2013, 42, 6, 11, 1]",7
"[2013, 42, 6, 12, 1]",16
"[2013, 42, 6, 13, 1]",20
"[2013, 42, 6, 14, 1]",21
"[2013, 42, 6, 15, 1]",15
"[2013, 42, 6, 16, 1]",10
"[2013, 42, 6, 17, 1]",30
"[2013, 42, 6, 18, 1]",15
"[2013, 42, 6, 19, 1]",24
"[2013, 42, 6, 20, 1]",11
"[2013, 42, 6, 21, 1]",9
"[2013, 42, 6, 22, 1]",5
"[2013, 42, 6, 23, 1]",5
"[2013, 43, 0, 0, 1]",0
"[2013, 43, 0, 1, 1]",3
"[2013, 43, 0, 2, 1]",1
"[2013, 43, 0, 3, 1]",0
"[2013, 43, 0, 4, 1]",0
"[2013, 43, 0, 5, 1]",3
"[2013, 43, 0, 6, 1]",1
"[2013, 43, 0, 7, 1]",0
"[2013, 43, 0, 8, 1]",0
"[2013, 43, 0, 9, 1]",2
"[2013, 43, 0, 10, 1]",6
"[2013, 43, 0, 11, 1]",10
"[2013, 43, 0, 12, 1]",20
"[2013, 43, 0, 13, 1]",17
"[2013, 43, 0, 14, 1]",9
"[2013, 43, 0, 15, 1]",16
"[2013, 43, 0, 16, 1]",12
"[2013, 43, 0, 17, 1]",19
"[2013, 43, 0, 18, 1]",16
"[2013, 43, 0, 19, 1]",18
"[2013, 43, 0, 20, 1]",8
"[2013, 43, 0, 21, 1]",3
"[2013, 43, 0, 22, 1]",5
"[2013, 43, 0, 23, 1]",5
"[2013, 43, 1, 0, 1]",3
"[2013, 43, 1, 1, 1]",1
"[2013, 43, 1, 2, 1]",2
"[2013, 43, 1, 3, 1]",4
"[2013, 43, 1, 4, 1]",0
"[2013, 43, 1, 5, 1]",4
"[2013, 43, 1, 6, 1]",17
"[2013, 43, 1, 7, 1]",62
"[2013, 43, 1, 8, 1]",54
"[2013, 43, 1, 9, 1]",98
"[2013, 43, 1, 10, 1]",15
"[2013, 43, 1, 11, 1]",5
"[2013, 43, 1, 12, 1]",19
"[2013, 43, 1, 13, 1]",22
"[2013, 43, 1, 14, 1]",20
"[2013, 43, 1, 15, 1]",24
"[2013, 43, 1, 16, 1]",33
"[2013, 43, 1, 17, 1]",67
"[2013, 43, 1, 18, 1]",195
"[2013, 43, 1, 19, 1]",59
"[2013, 43, 1, 20, 1]",18
"[2013, 43, 1, 21, 1]",13
